client_id,name,email,order_no,time,exchange,side,symbol,qty,price
CL0006,Ananya Das,CL0006@example.com,1620134859,11:13:18,BSE,B,TATAMOTORS,416,2557.39
CL0006,Ananya Das,CL0006@example.com,1228168820,14:59:08,NSE,S,SBIN,368,3215.03
CL0006,Ananya Das,CL0006@example.com,1966281420,12:55:45,BSE,S,WIPRO,93,712.12
CL0006,Ananya Das,CL0006@example.com,1456901006,11:07:36,NSE,S,HDFCBANK,121,1161.88
CL0007,Arjun Nair,CL0007@example.com,1926975158,13:39:03,NSE,S,SBIN,380,2221.48
CL0007,Arjun Nair,CL0007@example.com,1834399345,14:20:51,BSE,S,RELIANCE,302,782.64
CL0007,Arjun Nair,CL0007@example.com,1739702648,13:56:47,BSE,S,ITC,2,2289.79
CL0008,Ananya Nair,CL0008@example.com,1676615182,13:39:44,BSE,S,TCS,459,1333.43
CL0008,Ananya Nair,CL0008@example.com,1101573856,11:09:12,NSE,S,ITC,449,1552.55
CL0008,Ananya Nair,CL0008@example.com,1826561847,09:34:40,NSE,B,WIPRO,233,3729.54
CL0009,Arjun Das,CL0009@example.com,1671129831,14:26:20,NSE,S,ICICIBANK,314,3095.61
CL0009,Arjun Das,CL0009@example.com,1630708009,13:27:30,NSE,S,ITC,41,1504.09
CL0009,Arjun Das,CL0009@example.com,1576565640,10:24:53,BSE,S,ITC,278,1723.89
CL0009,Arjun Das,CL0009@example.com,1346100356,09:46:20,NSE,B,RELIANCE,373,1074.88
CL0010,Kabir Khan,CL0010@example.com,1187115565,12:57:35,NSE,S,ICICIBANK,296,1800.96
CL0010,Kabir Khan,CL0010@example.com,1945611374,13:07:29,BSE,B,WIPRO,399,499.18
CL0010,Kabir Khan,CL0010@example.com,1490374657,11:50:18,NSE,B,BHARTIARTL,188,3204.47
CL0011,Meera Iyer,CL0011@example.com,1517380240,14:54:53,BSE,B,HDFCBANK,176,3163.05
CL0011,Meera Iyer,CL0011@example.com,1421519440,10:47:45,BSE,S,TATAMOTORS,159,383.06
CL0011,Meera Iyer,CL0011@example.com,1542237102,14:53:26,NSE,B,BHARTIARTL,467,2140.67
CL0011,Meera Iyer,CL0011@example.com,1941544725,09:42:37,BSE,S,ITC,117,714.62
CL0011,Meera Iyer,CL0011@example.com,1253829254,14:40:46,BSE,S,SBIN,157,3302.17
CL0011,Meera Iyer,CL0011@example.com,1939968024,12:00:18,NSE,B,TATAMOTORS,290,1231.62
CL0011,Meera Iyer,CL0011@example.com,1918706443,11:34:29,BSE,B,ITC,448,3930.10
CL0011,Meera Iyer,CL0011@example.com,1538605170,09:11:27,NSE,S,BHARTIARTL,81,2291.15
CL0011,Meera Iyer,CL0011@example.com,1778980437,14:09:51,BSE,S,SBIN,117,622.47
CL0011,Meera Iyer,CL0011@example.com,1728341796,12:34:56,NSE,S,RELIANCE,165,3391.36
CL0012,Sara Nair,CL0012@example.com,1966615991,10:15:18,NSE,S,ICICIBANK,429,1599.63
CL0012,Sara Nair,CL0012@example.com,1640401875,12:05:58,NSE,S,TCS,277,1682.51
CL0012,Sara Nair,CL0012@example.com,1712953882,12:25:48,NSE,S,BHARTIARTL,298,2194.12
CL0012,Sara Nair,CL0012@example.com,1670546871,10:28:34,BSE,B,BHARTIARTL,38,1105.39
CL0012,Sara Nair,CL0012@example.com,1695502601,12:54:40,NSE,S,TCS,336,610.29
CL0013,Arjun Khan,CL0013@example.com,1402381472,11:46:24,BSE,S,HDFCBANK,167,1569.95
CL0013,Arjun Khan,CL0013@example.com,1757417352,11:17:00,NSE,B,ITC,36,140.14
CL0013,Arjun Khan,CL0013@example.com,1889435949,11:38:59,NSE,S,RELIANCE,144,1558.47
CL0013,Arjun Khan,CL0013@example.com,1980382842,10:49:21,NSE,S,HDFCBANK,208,3649.90
CL0014,Ishaan Sharma,CL0014@example.com,1627061963,14:44:18,BSE,S,ITC,256,2787.36
CL0014,Ishaan Sharma,CL0014@example.com,1337240144,12:12:52,BSE,B,ITC,30,1008.65
CL0014,Ishaan Sharma,CL0014@example.com,1655346246,12:38:46,BSE,S,HDFCBANK,322,3973.58
CL0014,Ishaan Sharma,CL0014@example.com,1486200502,13:50:19,BSE,S,INFY,299,2017.82
CL0014,Ishaan Sharma,CL0014@example.com,1282633499,13:26:26,NSE,B,SBIN,263,1348.69
CL0015,Ishaan Gupta,CL0015@example.com,1414889666,12:35:05,BSE,S,INFY,434,882.57
CL0015,Ishaan Gupta,CL0015@example.com,1456811699,10:45:56,BSE,S,TCS,273,3559.60
CL0015,Ishaan Gupta,CL0015@example.com,1803894479,09:57:07,BSE,B,ICICIBANK,500,626.10
CL0015,Ishaan Gupta,CL0015@example.com,1420502158,09:43:28,BSE,S,INFY,80,2407.23
CL0015,Ishaan Gupta,CL0015@example.com,1943037103,10:18:54,BSE,B,ICICIBANK,450,1842.72
CL0015,Ishaan Gupta,CL0015@example.com,1480475386,11:54:58,BSE,S,BHARTIARTL,232,3531.49
CL0016,Kabir Singh,CL0016@example.com,1380151892,12:49:32,BSE,B,TATAMOTORS,50,319.89
CL0016,Kabir Singh,CL0016@example.com,1610513755,13:43:55,NSE,B,BHARTIARTL,79,1212.98
CL0016,Kabir Singh,CL0016@example.com,1945486924,10:41:52,NSE,B,TATAMOTORS,357,1352.67
CL0017,Aarav Nair,CL0017@example.com,1921954849,09:31:22,NSE,B,ICICIBANK,274,2032.14
CL0017,Aarav Nair,CL0017@example.com,1584019488,14:17:41,NSE,S,RELIANCE,11,2727.53
CL0017,Aarav Nair,CL0017@example.com,1975240752,09:09:11,NSE,S,ITC,441,269.45
CL0018,Sara Patel,CL0018@example.com,1482756667,14:47:55,NSE,S,ITC,6,3964.44
CL0018,Sara Patel,CL0018@example.com,1595636671,12:10:57,NSE,B,SBIN,449,3252.84
CL0018,Sara Patel,CL0018@example.com,1419385603,11:27:21,BSE,B,TCS,329,1483.39
CL0018,Sara Patel,CL0018@example.com,1633564706,11:05:22,BSE,S,ICICIBANK,124,2117.35
CL0018,Sara Patel,CL0018@example.com,1263667420,14:41:28,NSE,S,TATAMOTORS,163,3847.05
CL0018,Sara Patel,CL0018@example.com,1372267301,12:21:04,NSE,B,RELIANCE,497,3544.76
CL0018,Sara Patel,CL0018@example.com,1620606135,12:47:22,BSE,B,BHARTIARTL,168,131.15
CL0018,Sara Patel,CL0018@example.com,1902618596,12:55:01,NSE,S,TCS,62,2379.25
CL0018,Sara Patel,CL0018@example.com,1641621976,14:26:44,NSE,B,INFY,398,161.55
CL0019,Vihaan Khan,CL0019@example.com,1136935556,12:26:13,NSE,B,RELIANCE,408,3769.41
CL0019,Vihaan Khan,CL0019@example.com,1898736271,09:03:58,BSE,S,SBIN,199,1090.64
CL0019,Vihaan Khan,CL0019@example.com,1192860856,14:28:57,NSE,S,ITC,266,3694.28
CL0019,Vihaan Khan,CL0019@example.com,1569324316,11:06:53,NSE,S,SBIN,39,2429.51
CL0019,Vihaan Khan,CL0019@example.com,1843474873,14:58:18,NSE,B,SBIN,131,3707.31
CL0020,Sara Nair,CL0020@example.com,1948643539,13:37:38,BSE,S,TCS,459,3246.03
CL0020,Sara Nair,CL0020@example.com,1300556704,14:42:33,BSE,S,WIPRO,367,3246.32
CL0020,Sara Nair,CL0020@example.com,1890362302,13:56:01,BSE,S,TATAMOTORS,395,2717.22
CL0020,Sara Nair,CL0020@example.com,1265270080,10:10:00,BSE,B,HDFCBANK,110,1119.20
CL0021,Diya Patel,CL0021@example.com,1834185213,10:41:41,BSE,S,ICICIBANK,367,2107.08
CL0021,Diya Patel,CL0021@example.com,1407467678,10:50:51,NSE,B,WIPRO,51,3748.56
CL0021,Diya Patel,CL0021@example.com,1729207902,13:15:22,NSE,B,TCS,317,761.62
CL0021,Diya Patel,CL0021@example.com,1929249819,13:22:49,NSE,S,SBIN,222,3483.59
CL0021,Diya Patel,CL0021@example.com,1140298776,09:14:43,BSE,S,BHARTIARTL,26,1839.05
CL0021,Diya Patel,CL0021@example.com,1928271740,12:19:25,NSE,S,BHARTIARTL,191,260.03
CL0021,Diya Patel,CL0021@example.com,1983112296,14:11:29,NSE,B,RELIANCE,450,2463.87
CL0021,Diya Patel,CL0021@example.com,1316524433,09:37:14,NSE,B,HDFCBANK,13,1482.84
CL0021,Diya Patel,CL0021@example.com,1781281305,11:18:25,BSE,S,BHARTIARTL,301,3415.86
CL0022,Sara Gupta,CL0022@example.com,1522936438,10:31:24,BSE,B,BHARTIARTL,278,3113.01
CL0022,Sara Gupta,CL0022@example.com,1651582091,12:49:36,NSE,B,WIPRO,430,3704.95
CL0022,Sara Gupta,CL0022@example.com,1522993412,11:59:18,BSE,B,WIPRO,461,1507.11
CL0022,Sara Gupta,CL0022@example.com,1294541070,11:22:39,BSE,B,ITC,315,417.85
CL0022,Sara Gupta,CL0022@example.com,1669227414,10:49:44,NSE,B,RELIANCE,167,2688.92
CL0022,Sara Gupta,CL0022@example.com,1398935721,11:06:04,BSE,S,TATAMOTORS,278,657.36
CL0023,Sara Mehta,CL0023@example.com,1873540255,11:52:47,NSE,S,RELIANCE,16,733.83
CL0023,Sara Mehta,CL0023@example.com,1657403702,13:19:46,BSE,S,SBIN,191,501.54
CL0023,Sara Mehta,CL0023@example.com,1380511940,14:12:54,NSE,S,WIPRO,198,3849.76
CL0023,Sara Mehta,CL0023@example.com,1249148943,13:00:40,BSE,B,TATAMOTORS,230,3883.85
CL0023,Sara Mehta,CL0023@example.com,1410844877,11:41:50,NSE,S,WIPRO,245,2139.04
CL0023,Sara Mehta,CL0023@example.com,1470741766,09:30:59,NSE,B,RELIANCE,13,3186.31
CL0023,Sara Mehta,CL0023@example.com,1611611650,11:04:21,BSE,B,BHARTIARTL,180,2407.83
CL0024,Ishaan Patel,CL0024@example.com,1915541722,10:20:37,NSE,B,SBIN,43,146.72
CL0024,Ishaan Patel,CL0024@example.com,1956089539,11:11:23,NSE,S,SBIN,52,2011.39
CL0024,Ishaan Patel,CL0024@example.com,1679018352,14:57:32,BSE,S,TCS,260,3630.60
CL0024,Ishaan Patel,CL0024@example.com,1111996067,12:46:52,NSE,B,INFY,487,386.84
CL0024,Ishaan Patel,CL0024@example.com,1769193669,13:26:53,NSE,S,ITC,153,684.04
CL0025,Rohan Nair,CL0025@example.com,1798352804,13:58:50,NSE,S,TCS,191,2676.71
CL0025,Rohan Nair,CL0025@example.com,1825759627,14:31:21,NSE,B,BHARTIARTL,421,126.75
CL0025,Rohan Nair,CL0025@example.com,1465215829,14:11:33,BSE,S,SBIN,82,126.02
CL0025,Rohan Nair,CL0025@example.com,1741471807,11:38:33,NSE,B,INFY,209,1735.22
CL0025,Rohan Nair,CL0025@example.com,1411119062,12:35:28,BSE,S,RELIANCE,46,1726.02
CL0026,Rohan Patel,CL0026@example.com,1171973152,10:35:32,BSE,B,ICICIBANK,27,357.00
CL0026,Rohan Patel,CL0026@example.com,1485269118,13:06:07,NSE,S,TCS,381,1328.58
CL0026,Rohan Patel,CL0026@example.com,1889294378,14:39:55,NSE,B,TCS,454,3722.33
CL0026,Rohan Patel,CL0026@example.com,1817335885,13:59:08,NSE,S,RELIANCE,48,1355.64
CL0026,Rohan Patel,CL0026@example.com,1553869466,13:00:43,NSE,B,ICICIBANK,261,2503.31
CL0027,Kabir Khan,CL0027@example.com,1497511922,14:49:05,NSE,B,WIPRO,305,511.09
CL0027,Kabir Khan,CL0027@example.com,1293050813,13:08:27,BSE,S,ITC,70,2088.87
CL0027,Kabir Khan,CL0027@example.com,1321276168,14:37:14,NSE,B,INFY,18,3345.97
CL0027,Kabir Khan,CL0027@example.com,1532139931,13:15:34,NSE,B,WIPRO,31,1703.57
CL0028,Diya Reddy,CL0028@example.com,1482616330,11:25:00,BSE,B,ICICIBANK,207,260.39
CL0028,Diya Reddy,CL0028@example.com,1410821347,14:02:18,NSE,S,ITC,366,1818.32
CL0028,Diya Reddy,CL0028@example.com,1878997462,10:18:52,BSE,S,WIPRO,56,3314.42
CL0028,Diya Reddy,CL0028@example.com,1598702772,14:47:11,NSE,S,INFY,417,2342.48
CL0028,Diya Reddy,CL0028@example.com,1337437815,14:22:38,BSE,S,RELIANCE,150,617.88
CL0028,Diya Reddy,CL0028@example.com,1843793921,12:46:50,BSE,B,ICICIBANK,433,1019.15
CL0028,Diya Reddy,CL0028@example.com,1588849931,12:59:05,NSE,B,ITC,301,1272.25
CL0029,Rohan Reddy,CL0029@example.com,1519523420,09:35:38,NSE,B,ICICIBANK,351,2508.79
CL0029,Rohan Reddy,CL0029@example.com,1622710094,12:18:07,BSE,B,INFY,382,759.61
CL0029,Rohan Reddy,CL0029@example.com,1815013361,10:13:51,NSE,B,TCS,403,3185.79
CL0030,Rohan Reddy,CL0030@example.com,1431612208,14:26:38,BSE,B,ITC,246,130.28
CL0030,Rohan Reddy,CL0030@example.com,1452539892,09:02:52,BSE,B,RELIANCE,173,3358.65
CL0030,Rohan Reddy,CL0030@example.com,1111900468,12:28:43,NSE,B,BHARTIARTL,353,1027.69
CL0030,Rohan Reddy,CL0030@example.com,1357271112,14:15:46,NSE,B,RELIANCE,35,457.62
CL0031,Rohan Mehta,CL0031@example.com,1439667673,14:18:49,BSE,S,ICICIBANK,300,1523.63
CL0031,Rohan Mehta,CL0031@example.com,1618801029,14:49:21,NSE,S,INFY,353,3567.68
CL0031,Rohan Mehta,CL0031@example.com,1574516142,12:25:12,BSE,S,TATAMOTORS,80,3123.05
CL0031,Rohan Mehta,CL0031@example.com,1342169209,10:45:03,BSE,B,HDFCBANK,178,3440.33
CL0032,Sara Khan,CL0032@example.com,1701942114,13:10:06,NSE,B,WIPRO,275,3339.79
CL0032,Sara Khan,CL0032@example.com,1377664814,12:59:55,BSE,S,HDFCBANK,455,3708.98
CL0032,Sara Khan,CL0032@example.com,1634036977,11:11:22,NSE,S,INFY,386,489.11
CL0032,Sara Khan,CL0032@example.com,1187243961,09:00:47,BSE,S,INFY,273,2187.02
CL0032,Sara Khan,CL0032@example.com,1306371560,12:13:54,BSE,S,TCS,332,1396.61
CL0033,Kabir Nair,CL0033@example.com,1587536553,09:43:57,NSE,S,ITC,389,2763.67
CL0033,Kabir Nair,CL0033@example.com,1685788252,12:05:49,BSE,S,INFY,420,2803.68
CL0033,Kabir Nair,CL0033@example.com,1490185981,13:38:45,BSE,S,TCS,313,2081.50
CL0033,Kabir Nair,CL0033@example.com,1820348037,09:30:36,BSE,S,ITC,188,2140.73
CL0033,Kabir Nair,CL0033@example.com,1199582201,12:07:46,NSE,B,ITC,330,2214.74
CL0034,Aarav Reddy,CL0034@example.com,1974237528,14:22:23,NSE,S,INFY,72,1548.84
CL0034,Aarav Reddy,CL0034@example.com,1546725545,12:18:58,NSE,S,TATAMOTORS,32,956.52
CL0034,Aarav Reddy,CL0034@example.com,1259882563,10:53:08,BSE,B,ITC,96,758.66
CL0034,Aarav Reddy,CL0034@example.com,1543601506,14:04:14,NSE,B,SBIN,110,296.98
CL0034,Aarav Reddy,CL0034@example.com,1655616733,12:52:48,NSE,B,BHARTIARTL,446,3647.34
CL0034,Aarav Reddy,CL0034@example.com,1533673168,10:56:37,BSE,B,WIPRO,324,2297.54
CL0034,Aarav Reddy,CL0034@example.com,1877251462,10:38:10,BSE,S,SBIN,463,2526.63
CL0034,Aarav Reddy,CL0034@example.com,1166193499,10:56:44,NSE,B,RELIANCE,482,3568.58
CL0034,Aarav Reddy,CL0034@example.com,1756139496,12:47:26,BSE,S,ICICIBANK,399,2255.25
CL0035,Arjun Patel,CL0035@example.com,1499009545,14:03:52,NSE,B,TCS,200,1550.27
CL0035,Arjun Patel,CL0035@example.com,1541004922,14:54:34,BSE,B,TATAMOTORS,52,1157.49
CL0035,Arjun Patel,CL0035@example.com,1608601087,13:46:17,NSE,S,SBIN,220,757.98
CL0035,Arjun Patel,CL0035@example.com,1405565049,09:24:19,NSE,B,TATAMOTORS,392,3031.49
CL0035,Arjun Patel,CL0035@example.com,1849302910,13:42:57,BSE,S,RELIANCE,211,2295.09
CL0035,Arjun Patel,CL0035@example.com,1964315526,13:56:11,BSE,S,TCS,424,159.34
CL0036,Aarav Gupta,CL0036@example.com,1310658452,11:16:07,NSE,B,INFY,211,2604.12
CL0036,Aarav Gupta,CL0036@example.com,1593545719,09:16:22,NSE,B,SBIN,191,2927.27
CL0036,Aarav Gupta,CL0036@example.com,1179827829,09:52:13,NSE,B,INFY,176,1327.79
CL0036,Aarav Gupta,CL0036@example.com,1854955799,14:21:34,NSE,S,BHARTIARTL,431,1843.81
CL0036,Aarav Gupta,CL0036@example.com,1588137269,13:16:55,NSE,S,INFY,231,3173.45
CL0036,Aarav Gupta,CL0036@example.com,1744323785,11:01:48,NSE,S,ITC,453,1704.32
CL0037,Arjun Khan,CL0037@example.com,1676677086,13:36:43,BSE,B,RELIANCE,470,3470.66
CL0037,Arjun Khan,CL0037@example.com,1360764718,09:20:18,NSE,S,WIPRO,487,1308.08
CL0037,Arjun Khan,CL0037@example.com,1554234133,11:53:36,BSE,B,RELIANCE,113,2154.70
CL0037,Arjun Khan,CL0037@example.com,1216876046,14:12:42,BSE,S,TCS,350,3956.79
CL0037,Arjun Khan,CL0037@example.com,1583935422,13:37:48,BSE,S,WIPRO,22,2890.89
CL0037,Arjun Khan,CL0037@example.com,1997096890,09:47:11,NSE,B,TCS,347,733.09
CL0037,Arjun Khan,CL0037@example.com,1207054100,09:52:31,NSE,B,HDFCBANK,316,1348.82
CL0037,Arjun Khan,CL0037@example.com,1620561490,14:59:47,NSE,S,TATAMOTORS,248,3317.65
CL0037,Arjun Khan,CL0037@example.com,1926217836,14:21:15,BSE,S,INFY,169,457.37
CL0038,Diya Gupta,CL0038@example.com,1411878498,14:16:57,NSE,B,INFY,483,1386.77
CL0038,Diya Gupta,CL0038@example.com,1318724510,12:32:47,NSE,S,INFY,235,1541.34
CL0038,Diya Gupta,CL0038@example.com,1838546862,13:16:38,BSE,B,SBIN,316,2332.80
CL0038,Diya Gupta,CL0038@example.com,1590274062,13:53:42,BSE,S,TATAMOTORS,437,2727.55
CL0038,Diya Gupta,CL0038@example.com,1999254538,11:47:59,BSE,B,RELIANCE,25,3411.27
CL0038,Diya Gupta,CL0038@example.com,1974666653,11:29:10,NSE,S,HDFCBANK,52,3108.35
CL0038,Diya Gupta,CL0038@example.com,1163316955,11:59:33,BSE,S,TCS,89,2475.17
CL0039,Ananya Mehta,CL0039@example.com,1831351152,09:34:14,BSE,S,INFY,330,1965.23
CL0039,Ananya Mehta,CL0039@example.com,1402208859,10:05:19,BSE,B,HDFCBANK,201,2773.79
CL0039,Ananya Mehta,CL0039@example.com,1743064215,10:37:08,NSE,B,WIPRO,439,1704.70
CL0039,Ananya Mehta,CL0039@example.com,1951123469,13:04:41,NSE,B,BHARTIARTL,133,1519.05
CL0039,Ananya Mehta,CL0039@example.com,1821273606,12:20:58,BSE,S,INFY,45,1522.42
CL0039,Ananya Mehta,CL0039@example.com,1503333183,13:31:09,NSE,S,ITC,226,3284.89
CL0039,Ananya Mehta,CL0039@example.com,1581402831,11:37:45,NSE,B,ITC,35,2646.15
CL0039,Ananya Mehta,CL0039@example.com,1948687042,09:53:11,BSE,S,ITC,480,1961.21
CL0039,Ananya Mehta,CL0039@example.com,1981684811,12:33:38,BSE,S,ITC,463,1937.45
CL0040,Aarav Sharma,CL0040@example.com,1292622402,10:39:50,NSE,S,WIPRO,487,1773.29
CL0040,Aarav Sharma,CL0040@example.com,1849596365,10:35:11,BSE,B,BHARTIARTL,59,3673.07
CL0040,Aarav Sharma,CL0040@example.com,1416258811,12:06:07,BSE,S,HDFCBANK,427,1082.50
CL0040,Aarav Sharma,CL0040@example.com,1845015213,10:47:02,BSE,S,INFY,214,3696.52
CL0041,Ananya Reddy,CL0041@example.com,1486813534,13:57:47,BSE,B,SBIN,389,2044.80
CL0041,Ananya Reddy,CL0041@example.com,1506038826,12:01:36,BSE,S,INFY,304,1455.36
CL0041,Ananya Reddy,CL0041@example.com,1323575450,09:42:27,NSE,S,ITC,247,3249.11
CL0041,Ananya Reddy,CL0041@example.com,1826507058,10:56:26,BSE,S,SBIN,268,3743.53
CL0041,Ananya Reddy,CL0041@example.com,1587467581,10:48:15,NSE,B,TATAMOTORS,228,2383.46
CL0041,Ananya Reddy,CL0041@example.com,1397777168,12:49:43,BSE,S,WIPRO,123,1989.93
CL0041,Ananya Reddy,CL0041@example.com,1450904492,10:50:44,NSE,B,BHARTIARTL,230,2314.31
CL0041,Ananya Reddy,CL0041@example.com,1268783478,11:02:25,NSE,S,BHARTIARTL,428,1669.28
CL0041,Ananya Reddy,CL0041@example.com,1958580067,10:36:59,NSE,B,WIPRO,476,575.60
CL0041,Ananya Reddy,CL0041@example.com,1876186141,13:32:07,NSE,S,ICICIBANK,209,2737.02
CL0041,Ananya Reddy,CL0041@example.com,1459223216,13:23:51,BSE,B,TCS,41,3538.95
CL0042,Aarav Khan,CL0042@example.com,1469677655,10:23:49,BSE,B,SBIN,111,1818.69
CL0042,Aarav Khan,CL0042@example.com,1975362039,12:57:01,NSE,B,WIPRO,377,491.79
CL0042,Aarav Khan,CL0042@example.com,1154661427,09:11:33,NSE,S,BHARTIARTL,31,3219.40
CL0042,Aarav Khan,CL0042@example.com,1905436385,10:07:42,NSE,B,RELIANCE,341,3881.48
CL0043,Ananya Nair,CL0043@example.com,1256154663,13:50:10,NSE,S,TCS,236,3376.02
CL0043,Ananya Nair,CL0043@example.com,1767725958,11:40:14,BSE,B,SBIN,441,683.12
CL0043,Ananya Nair,CL0043@example.com,1693775372,13:41:35,BSE,B,ICICIBANK,217,1685.50
CL0043,Ananya Nair,CL0043@example.com,1397976649,09:31:02,BSE,B,BHARTIARTL,121,2173.04
CL0043,Ananya Nair,CL0043@example.com,1418085166,09:25:45,BSE,S,RELIANCE,388,3430.09
CL0043,Ananya Nair,CL0043@example.com,1986796167,11:23:40,BSE,S,HDFCBANK,197,246.75
CL0043,Ananya Nair,CL0043@example.com,1598986178,11:40:15,NSE,S,TATAMOTORS,299,2161.34
CL0043,Ananya Nair,CL0043@example.com,1860892826,12:52:26,NSE,S,HDFCBANK,497,669.04
CL0043,Ananya Nair,CL0043@example.com,1550895553,09:27:59,NSE,B,WIPRO,499,2303.86
CL0043,Ananya Nair,CL0043@example.com,1650915767,09:31:28,NSE,B,TATAMOTORS,350,921.18
CL0043,Ananya Nair,CL0043@example.com,1286776828,14:53:52,NSE,S,WIPRO,264,1047.83
CL0044,Ananya Iyer,CL0044@example.com,1297554957,10:27:09,NSE,S,ITC,452,1068.55
CL0044,Ananya Iyer,CL0044@example.com,1684802214,11:56:58,BSE,B,RELIANCE,486,1365.38
CL0044,Ananya Iyer,CL0044@example.com,1881673072,14:40:40,NSE,S,RELIANCE,411,1939.88
CL0044,Ananya Iyer,CL0044@example.com,1251871929,10:40:44,BSE,S,HDFCBANK,79,2289.46
CL0044,Ananya Iyer,CL0044@example.com,1510701653,12:59:53,NSE,S,TCS,282,2015.24
CL0044,Ananya Iyer,CL0044@example.com,1941205880,09:18:18,BSE,B,BHARTIARTL,202,3286.16
CL0045,Vihaan Sharma,CL0045@example.com,1828272969,10:40:59,BSE,S,HDFCBANK,402,3113.88
CL0045,Vihaan Sharma,CL0045@example.com,1296261685,14:18:58,NSE,B,INFY,310,1988.69
CL0045,Vihaan Sharma,CL0045@example.com,1504818682,11:53:40,NSE,S,HDFCBANK,94,1130.61
CL0045,Vihaan Sharma,CL0045@example.com,1454964958,13:56:32,BSE,S,TCS,207,946.55
CL0045,Vihaan Sharma,CL0045@example.com,1548691379,14:49:49,BSE,S,ICICIBANK,68,2410.24
CL0045,Vihaan Sharma,CL0045@example.com,1829256290,14:12:02,BSE,S,TATAMOTORS,193,3714.30
CL0045,Vihaan Sharma,CL0045@example.com,1387240537,09:06:51,NSE,B,RELIANCE,359,1778.56
CL0045,Vihaan Sharma,CL0045@example.com,1479701935,11:48:10,NSE,S,INFY,167,2272.94
CL0046,Meera Iyer,CL0046@example.com,1632060430,12:15:47,BSE,B,SBIN,336,2109.30
CL0046,Meera Iyer,CL0046@example.com,1456502647,12:14:56,BSE,B,BHARTIARTL,326,2530.21
CL0046,Meera Iyer,CL0046@example.com,1418872186,11:47:14,NSE,B,SBIN,62,3736.20
CL0046,Meera Iyer,CL0046@example.com,1529586116,09:30:31,BSE,B,INFY,80,1968.87
CL0046,Meera Iyer,CL0046@example.com,1807640215,09:35:13,NSE,S,BHARTIARTL,5,1547.74
CL0047,Meera Patel,CL0047@example.com,1748418216,12:50:27,NSE,S,TCS,320,562.44
CL0047,Meera Patel,CL0047@example.com,1753092628,10:13:10,NSE,S,SBIN,115,2777.36
